iter	Passed	Remaining
0	143	143059
1	149	74359
2	155	51843
3	161	40125
4	166	33075
5	171	28436
6	177	25118
7	182	22632
8	188	20750
9	194	19218
10	200	17995
11	206	17036
12	214	16266
13	220	15494
14	226	14865
15	232	14281
16	238	13789
17	245	13367
18	251	12973
19	256	12590
20	262	12256
21	268	11949
22	274	11671
23	280	11405
24	286	11164
25	292	10944
26	298	10743
27	304	10559
28	309	10373
29	315	10207
30	321	10035
31	326	9879
32	332	9742
33	338	9623
34	344	9502
35	350	9397
36	356	9287
37	363	9190
38	369	9099
39	375	9010
40	381	8915
41	387	8836
42	394	8770
43	400	8692
44	406	8626
45	413	8565
46	419	8498
47	425	8437
48	431	8382
49	437	8319
50	444	8265
51	450	8208
52	456	8149
53	462	8098
54	468	8046
55	474	7990
56	479	7940
57	485	7887
58	491	7844
59	497	7800
60	504	7758
61	509	7714
62	515	7669
63	521	7633
64	527	7593
65	533	7552
66	540	7522
67	545	7481
68	551	7445
69	558	7413
70	563	7378
71	569	7342
72	575	7309
73	581	7277
74	587	7247
75	593	7219
76	600	7194
77	606	7167
78	612	7141
79	618	7116
80	625	7091
81	631	7067
82	637	7041
83	643	7014
84	649	6986
85	655	6963
86	661	6937
87	667	6912
88	672	6884
89	678	6860
90	684	6839
91	690	6818
92	696	6794
93	702	6771
94	708	6748
95	714	6724
96	719	6702
97	725	6680
98	731	6660
99	737	6637
100	744	6623
101	750	6611
102	757	6594
103	763	6581
104	770	6563
105	775	6543
106	782	6527
107	788	6510
108	794	6490
109	800	6472
110	806	6455
111	812	6440
112	818	6425
113	824	6409
114	830	6393
115	837	6381
116	843	6367
117	850	6356
118	857	6351
119	863	6333
120	869	6316
121	875	6301
122	881	6287
123	887	6270
124	893	6255
125	899	6240
126	905	6225
127	911	6210
128	917	6193
129	923	6182
130	929	6168
131	936	6155
132	942	6142
133	948	6129
134	954	6117
135	960	6104
136	967	6093
137	972	6077
138	978	6061
139	984	6047
140	991	6038
141	997	6030
142	1003	6016
143	1009	6001
144	1015	5988
145	1022	5979
146	1027	5963
147	1033	5947
148	1039	5935
149	1045	5924
150	1051	5914
151	1057	5901
152	1063	5889
153	1069	5877
154	1075	5862
155	1080	5847
156	1086	5835
157	1092	5821
158	1097	5806
159	1103	5795
160	1109	5782
161	1115	5771
162	1121	5757
163	1126	5743
164	1133	5735
165	1139	5725
166	1145	5714
167	1151	5703
168	1157	5690
169	1162	5676
170	1167	5662
171	1173	5649
172	1179	5638
173	1185	5626
174	1191	5615
175	1197	5606
176	1203	5597
177	1210	5589
178	1216	5581
179	1223	5573
180	1229	5562
181	1236	5556
182	1244	5556
183	1253	5560
184	1260	5553
185	1267	5545
186	1273	5538
187	1280	5530
188	1286	5519
189	1292	5511
190	1298	5501
191	1306	5497
192	1312	5488
193	1318	5479
194	1325	5470
195	1331	5463
196	1339	5461
197	1350	5469
198	1359	5473
199	1366	5466
200	1372	5457
201	1379	5450
202	1386	5442
203	1392	5433
204	1398	5425
205	1404	5414
206	1410	5405
207	1416	5394
208	1423	5388
209	1430	5380
210	1437	5375
211	1443	5367
212	1449	5357
213	1456	5348
214	1462	5340
215	1468	5331
216	1475	5323
217	1482	5318
218	1488	5307
219	1494	5299
220	1501	5291
221	1507	5282
222	1513	5273
223	1519	5265
224	1527	5261
225	1533	5253
226	1540	5245
227	1547	5239
228	1554	5234
229	1560	5225
230	1566	5215
231	1573	5209
232	1579	5200
233	1586	5193
234	1592	5183
235	1597	5173
236	1603	5163
237	1609	5153
238	1616	5146
